OBJECTID,WARD,ADDNUM,ADDSTR,LTLOCATION,RDLOCATION,OWNERSHIP,PARK,SPECIES,DBH,TREATMENT,EABTAGNUMB,DEDTAGNUMB
1248,8,60,STINSON AVE,Front,N/A,City,0,Maple Red,5,,0,0
1266,8,2340,BASELINE RD,Front,N/A,City,0,Maple Amur,5,,0,0
1284,11,1,AMBERLY PL,Side,N/A,City,0,,0,,0,0
1293,11,1,BRIARCLIFFE DR,Side,N/A,City,0,,0,,0,0
1294,4,5,SHIRLEY'S BROOK DR,Front,N/A,City,0,Elm Prospector,5,,0,0
1316,4,5,SHIRLEY'S BROOK DR,Front,N/A,City,0,Elm Prospector,5,,0,0
1317,4,59,KIMBOLTON CRES,Front,N/A,City,0,Maple Sugar,5,,0,0
1325,11,1923,ELMRIDGE DR,Rear,N/A,City,0,Maple Manitoba,60,,0,0
1335,11,1668,SAXONY CRES,Rear,N/A,City,0,Pine Austrian,9,,0,0
1337,11,1418,MICHAEL ST,Front,N/A,City,0,Ash White,23,,0,0
1345,11,1057,BOURGET AVE,Front,N/A,City,0,Pine Red,23,,0,0
1351,11,14,MOWAT ST,Front,N/A,City,0,See Notes,32,,0,0
1353,11,26,FLORETTE ST,Side,N/A,Joint,0,Apple Species,32,,0,0
1355,11,26,FLORETTE ST,Side,N/A,Joint,0,Maple Norway,18,,0,0
1356,11,19,FLORETTE ST,Front,N/A,City,0,Maple Silver,127,,0,0
1361,11,,TAUNTON PL,Front,N/A,City,0,,0,,0,0
1364,11,13,AMBERLY CRT,Front,N/A,City,0,Basswood,72,,0,0
1379,19,500,CHARLEMAGNE BLVD,Rear,N/A,City,0,Pine Austrian,5,,0,0
1380,11,2339,OGILVIE RD,Front,Boulevard,City,0,Maple Silver,46,,0,0
1381,11,2339,OGILVIE RD,Side,N/A,City,0,Maple Silver,36,,0,0
1390,11,2161,BICKERTON AVE,Front,N/A,City,0,Pine Scotch,24,,0,0
1409,11,2106,DUTTON CRES,Front,N/A,City,0,Hazel Turkish,10,,0,0
1413,11,2137,DUTTON CRES,Front,N/A,City,0,Apple Species,22,,0,0
1416,11,2135,DUTTON CRES,Front,N/A,City,0,Spruce Colorado,45,,0,0
1434,11,2143,MONSON CRES,Front,N/A,City,0,Maple Red,38,,0,0
1448,11,2117,FILLMORE CRES,Front,N/A,City,0,Spruce White,23,,0,0
1455,11,2125,FILLMORE CRES,Front,N/A,City,0,Maple Red,45,,0,0
1467,13,50,DUNVEGAN RD,Front,N/A,City,0,Maple Sugar,72,,0,0
1472,13,42,DUNVEGAN RD,Front,N/A,City,0,Maple Red,54,,0,0
1476,13,45,DUNVEGAN RD,Front,N/A,City,0,Linden Littleleaf,129,,0,0
1485,13,41,DUNVEGAN RD,Front,N/A,City,0,Maple Norway,28,,0,0
1496,13,195,LAKEWAY DR,Front,N/A,City,0,Spruce White,37,,0,0
1509,13,150,LAKEWAY DR,Side,N/A,City,0,Hemlock,74,,0,0
1523,13,145,LAKEVIEW AVE,Front,N/A,City,0,Maple Sugar,8,,0,0
1536,13,95,LAKEVIEW AVE,Front,N/A,City,0,Crabapple Species,31,,0,0
1539,13,95,LAKEVIEW AVE,Front,N/A,City,0,Basswood,61,,0,0
1545,11,1834,ELMRIDGE DR,Front,N/A,City,0,Maple Norway,20,,0,0
1549,11,2057,GATINEAU VIEW CRES,Side,N/A,City,0,Pine Scotch,24,,0,0
1550,11,2047,GATINEAU VIEW CRES,Front,N/A,City,0,Crabapple Species,60,,0,0
1552,11,2027,GATINEAU VIEW CRES,Front,N/A,City,0,Crabapple Species,33,,0,0
1564,11,2002,WOODWAY AVE,Side,N/A,City,0,Maple Red,24,,0,0
1569,11,2002,WOODWAY AVE,Side,N/A,City,0,Maple Red,46,,0,0
1587,13,774,EASTBOURNE AVE,Front,N/A,City,0,Maple Red,45,,0,0
1597,13,793,EASTBOURNE AVE,Front,N/A,City,0,Cherry Choke,21,,0,0
1602,13,813,EASTBOURNE AVE,Front,N/A,City,0,Maple Sugar,88,,0,0
1605,11,1844,ELMRIDGE DR,Front,N/A,Joint,0,Crabapple Species,39,,0,0
1606,11,1860,ELMRIDGE DR,Front,N/A,Joint,0,Oak White,56,,0,0
1623,11,2162,BICKERTON AVE,Front,N/A,City,0,Maple Red,30,,0,0
1636,11,4000,EADY CRT,Rear,N/A,City,0,Elm Siberian,40,,0,0
